"original_catalog","alternative_catalog","compatibility_note"
"05-408-129","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-129","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-130","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-130","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-131","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-131","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-132","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-132","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-133","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-133","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-134","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-134","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-135","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-135","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-136","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-136","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-137","10025-720","Same 1.5 mL capacity across Fisher Scientific and VWR; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 41 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"05-408-137","EP022363514","Same 1.5 mL capacity across Fisher Scientific and Sigma-Aldrich; diameter 10.8 vs 11 mm (difference 0.2 mm); height 40.6 vs 38 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"10025-720","05-408-129","Same 1.5 mL capacity across VWR and Fisher Scientific; diameter 11 vs 10.8 mm (difference 0.2 mm); height 41 vs 40.6 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"10025-720","EP022363514","Same 1.5 mL capacity across VWR and Sigma-Aldrich; diameter 11 vs 11 mm (difference 0.0 mm); height 41 vs 38 mm (difference 3.0 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"BR780420","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter data incomplete; height 41 vs 40.6 mm (difference 0.4 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"BR780420","10025-720","Same 1.5 mL capacity across Sigma-Aldrich and VWR; diameter data incomplete; height 41 vs 41 mm (difference 0.0 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"EP022363514","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter 11 vs 10.8 mm (difference 0.2 mm); height 38 vs 40.6 mm (difference 2.6 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"EP022363514","MFLX02550-07","Same 1.5 mL capacity across Sigma-Aldrich and VWR; diameter 11 vs 11 mm (difference 0.0 mm); height 38 vs 40 mm (difference 2.0 mm); verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4323","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter 12.9 vs 10.8 mm (difference 2.1 mm); height data incomplete; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4323","10025-720","Same 1.5 mL capacity across Sigma-Aldrich and VWR; diameter 12.9 vs 11 mm (difference 1.9 mm); height data incomplete; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4323K","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter 13.4 vs 10.8 mm (difference 2.6 mm); height data incomplete; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4323K","10025-720","Same 1.5 mL capacity across Sigma-Aldrich and VWR; diameter 13.4 vs 11 mm (difference 2.4 mm); height data incomplete; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
"HS4325","05-408-129","Same 1.5 mL capacity across Sigma-Aldrich and Fisher Scientific; diameter 12.9 vs 10.8 mm (difference 2.1 mm); height data incomplete; pack size 1000 vs 500; verify cap, rack, rotor, and centrifuge-rating compatibility before substitution."
